image_id,hotel_id,url,source,timestamp,hotel_name,chain_id,latitude,longitude,chain_name,downloaded,image_name,image_folder,description
3918396,104555,https://traffickcam.com/images/2019/2/20180127_205501_DTNVB2.jpg,traffickcam,1/27/18 20:55,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,3918396.jpg,hotels-50k/images/train/3/104555/traffickcam,"there is a bathroom with a sink, mirror, and shower, photo taken in 2018, brightly lit room, midjourney style, by Judith Brown, skybridge towers, various angles, description, tvs, contest winner, floating monitors, symmetric pattern, interconnections, # e 5 3 7 1 b, by Briana Mora, floor b2"
3919007,104555,https://traffickcam.com/images/2019/2/20180131_004741_SSBJ2H.jpg,traffickcam,1/31/18 0:47,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,3919007.jpg,hotels-50k/images/train/3/104555/traffickcam,"there is a bed with a white sheet and two lamps, japan sightseeing, by Dave Arredondo, first person pov, renaissance nimbus overhead, travel and adventure, unsettling photo, nitid horizon, hotel, complex system of order, glass ceilings, akashic, antigravity"
3960051,104555,https://traffickcam.com/images/2019/9/20180819_221235_AF3QMV.jpg,traffickcam,8/19/18 22:12,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,3960051.jpg,hotels-50k/images/train/3/104555/traffickcam,"there is a bathroom with a mirror and a sink in it, view from the bottom, 2019 trending photo, hotel room, godray lighting, vertical orientation w 832, bangkok townsquare, by Dave Arredondo, missing panels, h 640, beachwood treehouse, # e 5 3 7 1 b, description, tall door"
8473367,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/38359122_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473367.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed bedroom with a bed, chair, and lamp in it, long beach background, centered design, hotel, images on the sales website, 1600 south azusa avenue, ultra wide angle, insignia, phoenix, racks, doors to various bedrooms, inspired by Joseph Yoakum, features"
8473368,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/b27d6e7f_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473368.jpg,hotels-50k/images/train/3/104555/travel_website,"there are two beds in a hotel room with a chair and a table, desert oasis background, official product photo, warm color scheme, commercially ready, award-winning render, albuquerque, interconnections, inspired by Samuel Birmann, hestia, rendered, tundra"
8473369,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/7545e6bc_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473369.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed view of a hotel room with two beds and a television, 2 0 1 9, corporate memphis style, tiled room squared waterway, beautiful panoramic imagery, phoenix, wrestling ring, tall columns, ultrawide angle, pentagon, albuquerque, sitting across the room, night view, travel ad, “ full body"
8473370,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/4aae78bf_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473370.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed view of a bedroom with a bed, chair, desk and television, corporate memphis, 2 0 1 9, hotel, beautiful panoramic imagery, flood lighting, albuquerque, throw pillows, interconnections, cheerful atmosphere, wrestling ring, tile floor, lush surroundings"
8473371,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/57986aab_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473371.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed view of a living room with a couch, television, and a large window, hotel room, renaissance port city background, florida, taken in the early 2020s, cubicles, round-cropped, phoenix, the panorama, large commercial led screens, wrestling ring, cupertino"
8473372,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/6952d0b2_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
8473373,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/0e71fe09_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
8473374,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/13b3c9aa_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
8473375,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/015898a9_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
8473376,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/2aba92c5_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473376.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed view of a hotel room with a large bed and a flat screen tv, gray anthropomorphic, exterior shot, phoenix-inspired, fullbody or portrait, bars on the windows, dark concrete room, boston, 3 / 4 lighting, full body;"
8473377,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/9f6b7b8f_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473377.jpg,hotels-50k/images/train/3/104555/travel_website,"there is a living room with a couch, chair, and television, hotel, award winning h-512 w-512 n-6, washington dc, chamber, room, photo taken from behind, panorama shot, wrestling ring, downtown jacksonville florida, hotel room, albuquerque, insignia"
8473378,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/f159a5ea_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473378.jpg,hotels-50k/images/train/3/104555/travel_website,"there is a living room with a couch, chairs, a table and a television, new york city background, professional photo-n 3, hotel, full subject shown in photo, complimentary color scheme, mission arts environment, themed after wine, listing image, july 2 0 1 1, full product shot, las vegas, pentagon"
8473379,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/40fbb78d_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473379.jpg,hotels-50k/images/train/3/104555/travel_website,"there are two beds in a hotel room with a flat screen tv, by Basuki Abdullah, featured on pexels, city quality lighting, with labels. high quality, the price of ncr, throw pillows, iso 1 0 0 wide view, decorative panels, inspired by Muqi, royal court"
8473380,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/7a701aa2_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
8473383,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/7dc1ccbd_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,True,8473383.jpg,hotels-50k/images/train/3/104555/travel_website,"arafed view of a hotel room with a bed, chair, and lamp, fullbody photo, promotional image, phoenix, on center, july 2 0 1 1, flowerbeds, image on the store website, soft vignette, fully frontal view, court room, promotional images, reclining, new, designed"
8473384,104555,https://i.travelapi.com/hotels/8000000/7600000/7597600/7597537/4bf2cfe3_b.jpg,travel_website,2019-12-22 06:01:36,Hilton Dallas Plano Granite Park,3,33.08815,-96.82055,Hilton,False,,,
